depth,mag,nst,gap,dmin,rms,horizontalError,depthError,lon_sin,lon_cos,lat_sin,lat_cos
,5.136,34.0,117.0,3.208,0.84,10.57,1.892,0.1585406417815269,-0.9873524522193184,-0.3930706555794272,0.919508270611178
,5.2,30.0,97.0,6.873,0.56,12.03,1.916,0.5341900609207119,-0.8453644059300853,-0.8404351599343666,0.5419121164414905
547.425,5.3,98.0,22.0,2.276,0.9,10.48,7.74,-0.8918898997723396,0.4522525916831059,-0.35299969478101423,0.9356234367973639
,5.2519,38.0,70.0,4.176,0.8,6.45,1.893,0.41829515178061366,-0.9083111614401935,-0.12210147092762474,0.9925176224114665
5.005,5.1,78.0,31.0,0.456,0.78,3.06,3.975,-0.6479404498376803,-0.7616909960503304,0.8696724640875361,0.49362921834906937
,5.5,80.0,36.0,0.823,0.85,1.48,1.818,0.7799445638396011,-0.625848605764249,0.4624729820650071,0.8866333745466046
,5.136,42.0,69.0,11.468,0.73,12.12,1.883,0.9937609133994113,0.11153137226613766,-0.6773794260820065,0.7356338172765111
,5.2519,58.0,124.0,1.209,1.01,6.85,1.891,0.46223001236081246,-0.886760066575465,-0.09356617336576319,0.9956130629926909
68.378,5.136,62.0,61.0,3.642,0.5,11.6,5.719,-0.9817239669722857,0.190310411360489,-0.1569498722803138,0.9876065702450512
34.378,5.2519,40.0,79.0,15.2,0.92,13.35,6.138,-0.4469801819453674,0.894543859711801,-0.8644705160874713,0.5026835255063181
66.413,6.2,94.0,35.0,3.667,0.93,9.15,1.819,-0.9815398283962605,0.19125785022278036,-0.15574833849517375,0.9877967680935147
46.141,5.2519,45.0,103.0,2.648,1.29,9.04,7.25,0.616320047107693,-0.7874957774700581,0.49614831396938547,0.8682377845644222
67.534,6.6,80.0,25.0,0.586,0.92,4.91,5.903,0.8476723805384734,-0.530520061140234,0.41719147321077843,0.9088186148402884
588.313,5.6,96.0,33.0,4.248,0.74,9.95,7.454,-0.8922345773907457,0.4515722078564593,-0.4736271272169562,0.8807254648096722
,5.2519,62.0,122.0,3.412,0.67,9.72,1.866,0.36330489143290495,-0.9316703042712723,0.7617226594845609,0.6479032258198502
,5.2,57.0,90.0,1.291,0.93,7.38,1.87,0.9768712422983359,-0.21382837971257684,-0.09598299784280342,0.9953829735961472
,5.6,72.0,65.0,1.328,0.84,6.15,4.404,0.9769923754375809,-0.21327423270717188,-0.09641556924939974,0.9953411666390144
88.23,5.2519,55.0,119.0,1.099,0.66,8.98,6.507,0.4508728671148337,-0.8925881792291726,-0.07964568507265074,0.9968232365115232
,5.6,25.0,99.0,4.131,1.26,11.48,1.893,-0.05473234207775926,-0.9985010619577143,-0.2503394501612673,0.9681581274218352
,5.2519,45.0,100.0,4.695,0.95,9.09,1.869,-0.8837590964698047,0.467942153911009,-0.8676309772224422,0.497208695985931
61.607,5.6,58.0,103.0,1.112,0.79,8.26,7.39,0.6098962286635973,-0.7924812870105647,0.6589809436761659,0.7521596345668051
,5.367800000000001,49.0,58.0,9.433,1.38,9.49,1.855,-0.064460898743693,-0.9979202335523393,-0.44601817928453885,0.8950239012158865
,5.136,53.0,92.0,13.017,0.6,12.41,1.875,-0.5940143612508968,0.804454435395622,-0.8757840169722464,0.48270317547738995
,5.1,75.0,87.0,4.235,0.87,10.43,1.87,0.5986000601869305,-0.8010480434681825,0.20428590828709212,0.9789112664972847
,5.1,57.0,66.0,7.165,0.75,8.24,1.882,0.022381978515698463,0.9997494921417679,0.8843711998705417,0.46678429797877563
,5.7,164.0,62.0,4.179,0.57,9.45,1.84,0.5967291823388037,-0.802442697608535,0.20389634899997588,0.9789924815158082
50.646,5.136,88.0,136.0,2.449,0.5,12.1,7.755,0.578835791348386,-0.8154441284687062,0.2257247547738588,0.9741911183552646
,6.0,92.0,38.0,0.122,1.12,5.76,1.828,0.855301869147252,-0.5181300151826924,0.38832795796208386,0.9215212407020242
170.96,5.6,56.0,65.0,0.74,1.08,10.09,5.731,0.22214243936839723,-0.975014223809816,-0.253811966611516,0.967253578750058
196.726,5.2,66.0,30.0,3.506,1.04,4.3,7.343,0.5386119769006992,-0.8425539379405456,-0.09710868783830594,0.9952737828086915
336.946,5.2,83.0,43.0,1.576,0.99,8.57,6.943,0.6699564022918876,-0.7424004438496186,0.5468211103173601,0.8372494689823873
57.097,5.2519,59.0,76.0,2.345,0.72,3.63,7.219,0.7849353573181461,0.6195776665050431,0.6519356359393086,0.7582743082766349
110.18,6.5,71.0,33.0,4.015,0.9,4.89,6.214,0.5664709618973223,-0.8240817006384272,-0.09966534696527227,0.9950210141571342
35.0,5.2,66.0,142.0,2.177,0.85,8.49,1.916,-0.9984440749388246,-0.055762256227262615,0.24782425376576228,0.9688050057908676
56.91,5.3,74.0,42.0,1.414,0.61,10.19,4.662,0.47185998389230444,-0.8816734971638618,-0.09720596387934623,0.9952642868034034
9.0,5.6,115.0,36.0,2.476,1.19,7.15,1.797,0.7912363405863339,-0.6115104687047861,0.14589827918043805,0.9892995967512506
18.899,5.136,23.0,144.0,1.238,0.58,10.23,5.204,0.3301124353630571,-0.943941618967334,-0.1808195516360578,0.983516288500671
,5.2519,29.0,146.0,7.619,0.41,14.05,1.903,0.3186698150370915,-0.9478657863770724,-0.882811538316403,0.4697273547659601
54.947,5.8314,79.0,36.0,3.344,0.99,6.46,6.399,0.806050189590344,-0.5918471862409843,0.02557675610299231,0.9996728612637477
,5.2519,58.0,121.0,2.277,0.91,7.2,1.868,0.6201884856375998,-0.7844528298645755,0.5706290072903719,0.8212079736819441
,5.367800000000001,36.0,69.0,1.423,0.94,10.58,1.91,0.4717276408705193,-0.8817443126205773,-0.09740225020525729,0.9952450962727485
,5.2519,56.0,112.0,3.866,1.22,9.51,1.833,0.529319682020913,-0.848422462117358,0.6874653152385704,0.726217212921818
38.514,5.2519,35.0,78.0,2.632,1.13,7.2,7.46,0.7516786764609189,-0.6595295045363484,-0.11831731526838606,0.9929758370210633
35.0,5.136,52.0,123.0,3.728,0.72,11.2,1.899,0.5326960839383317,-0.8463066123792049,0.6880937316841284,0.7256218136309098
,5.2,82.0,100.0,3.855,1.06,4.4,1.745,0.5297564409217106,-0.8481498177220592,0.6878112614520211,0.725889570540712
34.552,5.2519,67.0,185.0,3.527,1.35,12.0,7.156,0.5378397205309731,-0.8430471131669717,0.6926116397907771,0.7213106934091098
55.354,5.4,65.0,82.0,0.785,0.88,5.77,7.586,0.6143003493126247,-0.7890722912600514,0.6531153523957366,0.757258434396734
34.683,5.136,81.0,110.0,3.809,0.78,10.67,4.707,0.5322617512242845,-0.8465798415882921,0.690119890644006,0.7236950576986865
,5.136,85.0,102.0,3.826,1.0,6.94,1.881,0.5293715082122274,-0.8483901262350426,0.6860190189354834,0.7275836073323786
156.493,5.2,54.0,39.0,1.008,1.05,6.89,7.022,-0.9277079547194715,0.3733067783341402,-0.3444069827409646,0.9388204462192251
42.955,5.367800000000001,53.0,135.0,2.209,0.71,9.82,7.741,0.559472131841103,-0.8288491622081616,0.6784674506699974,0.7346304638261026
39.776,5.3,79.0,97.0,2.214,0.59,8.64,6.403,0.559409925833986,-0.8288911477862544,0.6785379670060456,0.7345653322416614
124.137,5.0,54.0,63.0,3.16,0.75,7.81,7.277,0.8490703588048797,-0.5282797798505569,0.008632291268815066,0.9999627410796116
,5.3,26.0,114.0,14.281,0.78,12.92,1.91,0.1325452942138589,-0.9911769493797571,-0.8964214631199757,0.443202617837307
,5.6,27.0,119.0,11.738,0.97,11.68,1.906,0.12693996246665776,-0.9919104021679396,-0.8979838045107613,0.44002850684515754
,5.2519,53.0,52.0,0.418,1.5,5.26,1.885,-0.9781065769085572,0.20810459920007726,-0.011956965774447291,0.9999285129295338
35.0,5.3,113.0,43.0,2.369,0.95,7.83,1.88,0.9348591402868333,0.3550188555868026,0.5917782497509743,0.8061008020847477
,5.7,36.0,130.0,1.254,1.27,11.13,1.889,-0.005387805333962782,-0.9999854856715088,-0.26895007912699476,0.9631541179570293
65.327,5.2519,46.0,98.0,1.941,0.72,9.83,7.298,0.8009937129510435,-0.5986727585358309,0.149821804265875,0.9887130154734072
40.187,5.136,45.0,191.03000000000029,3.813,0.9,11.56,9.314,0.5304667992665978,-0.8477057124237461,0.6874843273251529,0.7261992148730829
65.905,5.9,81.0,72.0,0.635,0.68,8.79,6.634,0.34698639574019985,-0.9378701622139525,0.7982698356131617,0.6022999830235227
32.273,5.136,41.0,67.0,0.19,0.98,3.52,5.22,0.850186868055406,-0.5264810437101602,0.40781101235542805,0.9130663602398463
40.051,5.5,32.0,106.0,2.9,0.78,11.59,9.525,0.8549797706091072,-0.518661346014139,0.34049278449830495,0.9402471290594782
76.053,5.136,58.0,85.0,3.322,1.16,4.88,7.276,0.8112363231971119,-0.5847184176384654,0.02447405352928766,0.9997004654914619
51.518,5.2,60.0,63.0,2.923,0.83,3.72,6.784,0.18491539871641305,-0.9827544430413683,-0.34649364332026195,0.9380523200433177
,5.6,111.0,42.0,3.273,1.22,7.71,1.791,-0.9916026864214705,0.1293217394010871,0.11794123065043421,0.9930205768828061
95.052,5.0,30.0,82.0,3.269,0.46,8.02,8.155,0.19815005342345518,-0.9801716973715788,-0.3166375577532825,0.9485466024503154
401.512,5.4,74.0,27.0,3.196,0.9,9.92,6.74,-0.04708204321152659,-0.9988910256915056,-0.2864610102967156,0.9580919003831444
35.0,5.7,60.0,82.0,7.618,0.48,10.41,1.897,-0.42652927519484557,0.9044737571658781,-0.8542366027059112,0.5198844358099819
53.306,5.136,48.0,141.0,0.901,0.81,6.83,7.335,0.6099875119079419,-0.792411026750864,0.6600934472638048,0.7511834934817102
,5.2,64.0,77.0,3.965,1.03,9.55,1.857,0.5273458590660163,-0.8496507193699805,0.6877517140717918,0.7259459895827736
12.064,5.0,81.0,84.0,2.559,0.39,8.21,4.386,-0.5202899085756384,-0.8539897019486558,0.8328623191117264,0.5534802231370485
35.0,5.2519,72.0,98.0,5.09,0.72,10.34,1.881,0.5050037304629075,-0.8631171601923734,0.6997082307746862,0.7144287170783089
,5.136,76.0,67.0,7.342,0.43,10.76,1.853,-0.27942014151387856,0.9601689354047881,-0.6919630138938763,0.7219329521520008
,5.2519,112.0,76.0,16.955,0.75,10.72,1.812,-0.28097492687315606,0.9597151090134116,-0.6896726264527997,0.7241213077390397
,5.3,68.0,53.0,4.038,0.84,5.38,1.858,0.2864727155760751,-0.9580884005301751,-0.2029718709041294,0.979184568721177
,5.1,109.0,95.0,1.48,0.79,5.95,1.248,0.6016575027921283,-0.7987541858005754,0.6545851326789922,0.75598829625572
14.69,5.4,69.0,47.0,1.419,0.87,5.03,4.085,0.3448837565791082,0.9386454039986999,0.6078360607358604,0.7940625436759446
97.26,5.6,100.0,24.0,0.965,0.57,8.27,5.072,0.5612415102403636,-0.827652080999689,0.24641548621260284,0.9691642833671733
,5.136,58.0,52.0,8.503,0.9,10.12,1.871,0.8895168728682007,0.45690232313129825,-0.4738115755378075,0.8806262492603661
34.0,5.7,108.0,42.0,2.017,0.91,8.61,1.88,0.3225829023421467,-0.946541214695122,0.7851667151059072,0.6192844495785431
,5.3,81.0,75.0,1.546,1.11,8.55,1.808,0.33582806484530703,-0.9419233041295115,0.7868951738823126,0.6170866919005182
77.947,5.4837,74.0,39.0,7.471,0.59,11.71,5.076,-0.4330566528042157,0.9013667042120033,-0.8548774624473122,0.5188299569219613
29.14,5.2519,56.0,58.0,1.408,0.9,6.0,4.681,0.6872586868541292,-0.7264127596232999,0.60309383375,0.7976702499734633
60.724,5.136,80.0,55.0,2.881,0.81,7.48,6.929,0.8044896835009947,-0.5939666229178785,0.034852401480565,0.9993924705094779
,5.367800000000001,49.0,152.0,23.961,0.67,14.2,1.921,-0.9769737600296413,-0.21335949056356693,-0.5847070905855876,0.8112444873273023
54.548,5.2519,60.0,114.0,1.968,0.77,7.56,4.828,0.9805681202090546,-0.19617890210132471,-0.056929768981568256,0.998378185560815
74.821,5.136,33.0,87.0,18.753,0.7,13.94,8.377,-0.4347706361459943,0.9005412227906102,-0.856327480634584,0.5164331959799121
95.911,5.4,67.0,48.0,0.596,1.14,4.94,4.911,-0.9338953021779679,0.35754659076814316,-0.36202320394966603,0.9321690832687053
109.647,5.5,85.0,31.0,0.148,0.94,7.39,2.501,0.029015516568138226,-0.9995789612623327,0.7871869581238068,0.6167144338831289
367.01,5.3,292.0,12.0,2.062,0.65,7.39,4.982,0.6752941910987869,-0.737548476690336,0.5356514214263394,0.8444391953977161
78.899,5.2,302.0,40.0,2.281,0.59,8.59,4.453,0.39295189379490186,-0.9195590297327302,0.7759407254280724,0.6308058264015614
52.028,5.2519,73.0,68.0,15.257,0.64,11.9,7.037,-0.44130852469631193,0.8973554401854176,-0.8630201905301319,0.5051694277540307
35.109,5.7155000000000005,92.0,110.0,1.017,0.96,7.5,5.388,0.6028181426943835,-0.7978786166068708,0.6562131296656412,0.7545755949236792
19.0,6.7,120.0,39.0,1.214,0.86,8.41,1.738,0.6049229830841176,-0.7962839848550342,0.6538723398788466,0.75660489235886
,5.136,84.0,107.0,4.803,0.49,11.59,1.867,0.3872999759229548,-0.9219537562427297,0.7467914205411931,0.6650583239130738
28.334,5.2519,67.0,86.0,1.015,1.07,5.41,3.613,0.6045685298634353,-0.796553132376469,0.6565186158850421,0.7543098216226463
576.24,5.2519,95.0,31.0,2.877,0.82,9.87,6.164,-0.031574738650179485,-0.999501393635433,-0.31192204354201336,0.9501076985018985
,5.2519,91.0,79.0,12.641,0.77,8.67,1.803,0.9997126830356522,0.02396980136875701,0.5432491838673759,0.8395715122772033
36.089,5.7,145.0,44.0,1.214,0.6,6.82,6.369,0.6058259491454283,-0.7955972092346987,0.6540426709845181,0.756457655478109
107.147,5.4837,59.0,57.0,3.465,0.62,9.65,7.849,0.42477306477642957,-0.905299863824379,-0.11133190942188068,0.993783279163258
164.618,5.5,107.0,32.0,2.302,0.79,6.86,2.629,-0.9564592385540485,0.29186593666375305,0.11784764014228183,0.9930316881715786
44.747,5.2,71.0,98.0,0.623,0.93,4.59,3.733,-0.947686545532292,0.31920246148341497,-0.48240049743094976,0.8759507749173878
,5.3,179.0,121.0,28.54581000000003,0.61,14.08,1.809,-0.06428498610622216,-0.9979315811022932,-0.4527490902110224,0.8916379653834238
,5.136,56.0,86.0,9.497,1.01,9.97,1.812,-0.06871875387155343,-0.9976360723562179,-0.4500641527756728,0.892996225292311
,5.0,105.0,62.0,3.549,0.33,7.23,1.884,-0.4466694615521156,0.8946990511433122,0.8836618885467956,0.4681256954386403
60.104,5.0,220.0,97.0,0.958,0.56,6.13,5.964,0.6117244963549041,-0.7910708821334147,0.6601681745611154,0.7511178211816336
,5.2,119.0,33.0,2.004,0.67,6.92,1.757,0.994467578091068,-0.10504397234342228,0.04518165999698971,0.9989787873623326
,5.367800000000001,89.0,50.0,5.978,0.65,10.72,1.781,-0.04202213233598459,-0.999116680069919,-0.5388751762036229,0.8423856269378736
,5.4837,70.0,69.0,9.72,0.82,10.45,1.785,-0.06865955283431814,-0.9976401484526329,-0.4544041073328459,0.8907956596431302
47.786,5.8314,108.0,67.0,1.225,0.47,6.44,4.675,0.6051675554212941,-0.7960981282891042,0.653757446696664,0.7567041699955528
35.0,5.136,67.0,101.0,0.963,0.66,7.89,1.862,0.6018205986650522,-0.7986313085663735,0.6568253105173566,0.754042778271749
19.0,6.6,140.0,29.0,1.038,0.64,5.6,1.635,0.5997151571202108,-0.8002135529471373,0.6557441571293304,0.7549831788793337
,5.136,43.0,49.0,5.582,0.68,11.15,1.873,0.6612791349243384,-0.7501399240899784,0.1939604092937309,0.9810093575632235
22.099,6.0,102.0,50.0,1.048,0.78,7.77,4.436,0.6008290907166733,-0.7993775101593587,0.6556321459044497,0.7550804521749496
26.694,5.7155000000000005,61.0,43.0,7.716,1.02,9.79,5.129,-0.42638088063171325,0.9045437217911164,-0.8558728710242652,0.5171862610749451
38.822,5.136,84.0,96.0,1.094,0.67,7.79,6.022,0.6011080894967791,-0.79916773254526,0.6550428612296219,0.755591721733444
35.0,5.7155000000000005,113.0,67.0,1.076,0.68,7.01,1.822,0.6090853893234558,-0.7931046516776297,0.6545943687695528,0.7559802989332398
45.351,7.6,171.0,17.0,0.871,0.72,9.6,4.233,0.6131800750202119,-0.7899431597261966,0.6560142424673757,0.7547485102204278
,5.0,84.0,45.0,20.468,0.56,8.12,1.787,0.936403585597469,0.3509249561946309,-0.407962398884637,0.9129987300628037
,5.2,121.0,38.0,0.367,0.94,3.53,1.58,0.850403652260868,-0.5261308090402772,0.40404826068982785,0.9147376689704677
110.746,5.1,113.0,28.0,0.814,0.82,6.05,4.613,0.5125315106750674,0.8586684171233581,0.6030144755241338,0.7977302440727403
35.0,5.0,168.0,111.0,1.586,0.6,8.84,1.874,0.3541294529449754,-0.9351964128229387,0.7824451560839493,0.6227195016383896
,5.8,144.0,55.0,0.401,0.59,4.48,1.767,-0.6477835667116011,-0.7618244224874894,0.8690238329876104,0.4947702271757283
2.118,5.0,111.0,37.0,0.465,0.6,2.11,3.313,-0.6444333061581323,-0.7646605220057453,0.8705318256816271,0.49211212185376324
63.427,5.6,110.0,45.0,2.92,0.85,9.88,5.586,0.3932182962223158,-0.9194451432880697,0.7687391472557039,0.6395624468936345
,5.6,77.0,35.0,0.879,0.77,6.65,1.861,0.23162565904256793,-0.9728049928290335,-0.2550829435542693,0.9669191754783278
35.0,5.367800000000001,58.0,75.0,2.385,1.0,8.13,1.861,0.7540920703345761,-0.6567687183921845,-0.11544686152757909,0.99331365749366
7.321,5.2,107.0,54.0,0.483,0.84,2.24,3.648,-0.6426993634369734,-0.766118481853629,0.8708846086268294,0.4914875364207054
,5.2519,37.0,127.0,3.094,1.1,13.23,1.859,-0.04512237932288343,-0.9989814667371171,-0.28802746464925943,0.9576221486618403
10.75879955291748,5.358736885431358,86.0,61.83981323242188,0.4999297857284546,1.5,0.0,4.409660816192627,-0.6513406985721997,-0.7587854073342996,0.8687947800601247,0.4951723236816447
5.0,5.367800000000001,24.0,157.0,0.505,0.75,2.06,1.978,-0.6507583149820468,-0.759284936951687,0.8692128840940359,0.4944380265765651
5.0,7.0,104.0,31.0,0.411,0.84,3.7,1.671,-0.6488028156057797,-0.760956573308893,0.8687006850513308,0.49533737976388237
,5.2519,119.0,63.0,28.54581000000003,0.55,11.04,1.775,-0.8018757660434159,-0.5974907997888208,-0.8206458682862202,0.5714370996573076
13.146,5.2519,74.0,121.0,1.411,1.27,9.15,4.869,0.3277901276358962,-0.944750566141372,0.7943679750768952,0.6074368445955787
113.578,5.2519,73.0,57.0,4.725,0.86,8.11,5.697,0.7960210180132686,-0.6052689806037639,0.028832333669853306,0.9995842618484698
,5.5,253.0,80.0,3.976,0.55,4.42,1.791,-0.957646275033784,-0.2879472380730854,0.3189890841634068,0.9477583891396535
,5.7155000000000005,94.0,99.0,4.701,0.41,8.65,1.843,-0.8835564688330518,0.4683246378136306,-0.8675988670767482,0.49726472411296496
,5.4837,58.0,74.0,11.076,0.66,12.11,1.857,-0.06702446466924286,-0.9977513323147214,-0.4616712051792247,0.887051124968771
,5.2519,31.0,191.03000000000029,27.203,1.07,14.2,1.976,-0.21425800942935316,0.9767771011829521,-0.34142144731381874,0.939910312377802
9.0,5.8,260.0,27.0,0.614,0.59,6.11,1.803,0.9797297271279894,0.20032389218891322,0.656189423650361,0.7545962100947812
599.274,5.367800000000001,87.0,61.0,4.525,0.96,11.26,3.653,-0.013548576444012956,-0.9999082138258195,-0.36635832052223416,0.9304738475551734
76.161,5.136,64.0,71.0,5.019,0.66,3.32,7.459,0.8126331407727696,-0.5827755816073491,-0.005530920199713054,0.9999847043438936
67.017,5.2,46.0,138.0,3.144,0.94,10.07,8.672,-0.9955604862303288,-0.09412395155767427,0.2766220315458847,0.960978798758551
,5.2519,31.0,111.0,28.54581000000003,0.88,13.79,1.88,-0.7742888314238008,-0.6328323676396184,-0.8181978860812713,0.5749367088751065
,5.5,51.0,116.0,28.54581000000003,0.91,13.58,1.889,-0.7867885372102634,-0.6172226484134667,-0.822894471772062,0.5681942346829815
,5.136,24.0,191.03000000000029,6.583,0.72,10.11,1.981,-0.02777334327103301,-0.9996142462988157,-0.5232067379252927,0.8522057905163365
606.3270000000003,5.6,107.0,23.0,4.173,0.74,7.74,4.579,-0.018080625785743737,-0.9998365321247248,-0.35576276954598524,0.9345762953365392
49.768,5.2519,158.0,41.0,2.358,0.6,7.34,5.066,0.9886504337346935,-0.15023421672908738,0.005881725665940252,0.9999827025019936
35.0,5.4837,141.0,52.0,3.061,0.56,8.59,1.88,0.38966570190840827,-0.9209563728843118,0.7669109558495227,0.6417535241804064
35.0,5.0,171.0,123.0,1.982,0.88,7.19,1.892,0.5656767608944565,-0.8246270685491448,0.6808001337433895,0.7324692334118771
,5.2,109.0,45.0,19.31,0.63,11.36,1.867,-0.6518469611139416,0.7583505385285353,0.1616365463893373,0.986850356878553
,5.0,50.0,127.0,9.644,0.77,11.53,1.868,-0.06596391161470215,-0.9978220093606313,-0.4512638467634233,0.8923905762637107
35.0,5.2,51.0,66.0,11.271,0.33,13.23,1.85,-0.06215820262647578,-0.9980663093433452,-0.45567230715250473,0.8901475992745885
35.0,5.1,95.0,106.0,0.766,0.82,3.72,1.855,-0.11390029807673284,-0.9934921852224261,0.7835611784591306,0.6213146381759715
104.577,5.1,73.0,74.0,1.67,0.69,9.55,6.471,0.318805467479537,-0.9478201696024167,-0.17860988492767188,0.9839199708340733
,5.136,36.0,88.0,24.175,0.71,14.2,1.876,-0.5894854123518848,-0.8077790221492066,-0.8297756623823482,0.5580970794744722
,5.3,96.0,75.0,9.793,0.96,10.74,1.842,-0.06507570635003669,-0.9978803297204749,-0.45365923212917536,0.8911752359126498
36.282,5.3,67.0,70.0,11.279,0.72,11.47,6.636,-0.059799425101300104,-0.9982104130680836,-0.4565157075420738,0.8897153526647495
,5.8,60.0,69.0,6.83,0.73,10.37,1.818,0.5380045064703617,-0.8429419618322382,-0.8339946600783282,0.5517725137779461
,5.136,56.0,51.0,1.861,0.75,9.02,1.87,0.2339052533616899,-0.9722593956603369,-0.23709248891123014,0.9714870826222437
,5.9,89.0,28.0,4.769,0.57,7.92,1.827,0.47242155395669894,-0.8813727221539919,-0.7919274364500466,0.6106152105849129
154.765,5.1,98.0,64.0,4.874,0.51,10.38,6.76,0.40252142735985563,-0.9154105639089951,-0.1196897930552666,0.9928113382906076
